file,type,size_kb
07_CLOSING_PROCESS/Post_Closing_Follow_Up.docx,docx,36.4
07_CLOSING_PROCESS/Pre_Closing_Checklist.docx,docx,36.3
12_CANVA_IMPORTABLE_TEMPLATES/Canva_Import_Client_Proposal.pptx,pptx,39.5
12_CANVA_IMPORTABLE_TEMPLATES/Canva_Import_Loan_Status_Update.pptx,pptx,30.9
12_CANVA_IMPORTABLE_TEMPLATES/Canva_Import_Social_Post_Pack.pptx,pptx,37.7
12_CANVA_IMPORTABLE_TEMPLATES/Canva_Import_Welcome_Packet.pptx,pptx,35.4
11_BONUSES/100_Mortgage_Content_Ideas.docx,docx,36.7
11_BONUSES/365_Mortgage_Content_Captions.csv,csv,155.8
11_BONUSES/First_Time_Buyer_FAQ_Guide.docx,docx,36.8
11_BONUSES/Mortgage_Broker_Growth_Roadmap.docx,docx,36.5
05_CLIENT_COMMUNICATION/20_Email_Templates.docx,docx,38.5
05_CLIENT_COMMUNICATION/Difficult_Conversation_Scripts.docx,docx,36.5
05_CLIENT_COMMUNICATION/SMS_Text_Templates.docx,docx,36.5
05_CLIENT_COMMUNICATION/Status_Update_Scripts.docx,docx,36.5
02_CLIENT_ONBOARDING/Client_Expectations_Document.docx,docx,36.4
02_CLIENT_ONBOARDING/Client_Intake_Form.docx,docx,36.4
02_CLIENT_ONBOARDING/Client_Onboarding_System.xlsx,xlsx,6.6
02_CLIENT_ONBOARDING/Kickoff_Call_Script.docx,docx,36.3
02_CLIENT_ONBOARDING/Pre_Application_Checklist.docx,docx,36.5
02_CLIENT_ONBOARDING/SOP_For_New_Clients.docx,docx,36.5
02_CLIENT_ONBOARDING/Welcome_Packet.docx,docx,36.6
06_REFERRAL_PARTNER_SYSTEM/Co_Marketing_Guide.docx,docx,36.4
06_REFERRAL_PARTNER_SYSTEM/Realtor_Partnership_Scripts.docx,docx,36.7
06_REFERRAL_PARTNER_SYSTEM/Referral_Partner_CRM.xlsx,xlsx,5.6
06_REFERRAL_PARTNER_SYSTEM/Referral_Thank_You_System.docx,docx,36.4
03_LOAN_APPLICATIONS/Application_Pipeline_Tracker.xlsx,xlsx,5.6
03_LOAN_APPLICATIONS/Application_Submission_SOP.docx,docx,36.5
03_LOAN_APPLICATIONS/Appraisal_Management_SOP.docx,docx,36.3
03_LOAN_APPLICATIONS/Lender_Selection_Framework.docx,docx,36.5
03_LOAN_APPLICATIONS/Loan_Product_Comparison.docx,docx,36.3
03_LOAN_APPLICATIONS/Underwriting_Conditions_SOP.docx,docx,36.5
01_LEAD_GENERATION/Cold_Outreach_Templates.docx,docx,37.1
01_LEAD_GENERATION/Discovery_Call_Script.docx,docx,36.7
01_LEAD_GENERATION/Follow_Up_Templates.docx,docx,36.6
01_LEAD_GENERATION/Lead_Qualification_Checklist.docx,docx,36.5
01_LEAD_GENERATION/Mortgage_Lead_CRM.xlsx,xlsx,6.8
01_LEAD_GENERATION/Referral_Partner_Outreach.docx,docx,36.7
01_LEAD_GENERATION/Social_Media_Post_Templates.docx,docx,36.7
04_COMPLIANCE_LEGAL/Anti_Discrimination_Policy.docx,docx,36.3
04_COMPLIANCE_LEGAL/Compliance_Checklist.docx,docx,36.4
04_COMPLIANCE_LEGAL/Legal_Template_Use_Guide.pdf,pdf,4.4
04_COMPLIANCE_LEGAL/Privacy_Notice_Template.docx,docx,36.2
04_COMPLIANCE_LEGAL/Record_Retention_Policy.docx,docx,36.3
04_COMPLIANCE_LEGAL/Service_Agreement.docx,docx,36.4
00_START_HERE/README_FIRST.txt,txt,0.6
00_START_HERE/START_HERE_Implementation_Guide.pdf,pdf,7.3
08_CLIENT_RETENTION/Annual_Mortgage_Review_SOP.docx,docx,36.5
08_CLIENT_RETENTION/Referral_Request_Scripts.docx,docx,36.4
08_CLIENT_RETENTION/Retention_Playbook.docx,docx,36.3
09_BUSINESS_OPERATIONS/Business_Goals_Workbook.docx,docx,36.3
09_BUSINESS_OPERATIONS/Business_KPI_Dashboard.xlsx,xlsx,7.1
09_BUSINESS_OPERATIONS/Marketing_Planner.docx,docx,36.4
10_NOTION_WORKSPACE/Applications_Database.csv,csv,0.3
10_NOTION_WORKSPACE/Clients_Database.csv,csv,0.2
10_NOTION_WORKSPACE/Compliance_Log_Database.csv,csv,0.2
10_NOTION_WORKSPACE/Database_Field_Map.csv,csv,0.5
10_NOTION_WORKSPACE/Leads_Database.csv,csv,0.2
10_NOTION_WORKSPACE/NOTION_WORKSPACE_SETUP.md,md,1.1
10_NOTION_WORKSPACE/Notion_Workspace_Setup_Guide.pdf,pdf,4.4
10_NOTION_WORKSPACE/Referral_Partners_Database.csv,csv,0.2
10_NOTION_WORKSPACE/SOP_Library.csv,csv,0.5
10_NOTION_WORKSPACE/Tasks_Database.csv,csv,0.3
